name,id,price,hash,rarityScore,rarityRank
Clay Nation #9893,9893,99999,QmNg9MQSnWUw31pAh4moGbGz1WNj8czfqCGfWbK2XV2C31,88,68
Clay Nation #3419,3419,x,QmSEphSQqxYQrFnveZUUa1iptZikvUDDNLnqbtgd1FppgG,88,69
Clay Nation #0260,260,48500,QmWWXpVkri4GdFAScWNQTLHPWWLT84xJwxF9mAiNvCWxkH,88,70
Clay Nation #5910,5910,x,QmUuHjSZTqemJbWAe9jHqKSijJs2UBAd6d3SDWbUinj9wx,88,71
Clay Nation #1636,1636,40404,QmcN9EcGnHK1MXe8yE5pyCgagR9HFsxXmZDWGqbz6Bdz6j,88,72
Clay Nation #0903,903,48000,QmRYFisb1bX212a3DH4V11k7ez2CkTbcSkPiSJsxw4BasD,88,73
Clay Nation #1962,1962,75800,QmdkVrfVnRepZaQ2EK2QhbzV7dUyEF4vS9FJPhRnmWitv1,88,74
Clay Nation #1023,1023,14999,QmQ3dV3LQHKEthzBpZz6Nerj3dXm6pTFrexaL8BDkMgfoe,88,75
Clay Nation #9094,9094,15000,QmQ2ybjJFaFPDfzL8fd5aTLWAGnPUu5VwF2GMSE6ipKYtS,88,76
Clay Nation #9318,9318,19999,QmezzQUjFg8BWSr8NJLLQtmbAnVN5B7WhrVrbkoUMYTpE6,88,77
Clay Nation #6675,6675,x,QmQAFZzJsuFSUNrmobQci73wezEbLseF7EZy7MaKrv1uKj,88,78
Clay Nation #7493,7493,14998,QmNWx1wgjNxG7oss9dVKEFRwarY6C1cJMpeL4E1H3VtKhK,88,79
Clay Nation #2748,2748,14999,QmTtbpornv1Q12iyFU4GHV8iyN2j2ArqWBjgsNGEUXNzu7,88,80
Clay Nation #9783,9783,45675,QmaixdtkiTFj55z7q496MdsJJyDhFJDBSmNTVhx9xnsdxK,88,81
Clay Nation #0822,822,72000,QmXVtycPmZWKx9HcJUKnxpKW8tJ7thPsb4HG7Wy8aALmij,88,82
Clay Nation #6426,6426,42000,QmdcMb6icFdoCrrauApLGKej1DMsvtRS4dYjRCTsPq53uo,88,83
Clay Nation #4302,4302,x,QmYLFa3JHqgcDSLFnT8chp1Sh7Ntqt9TvnP4bhzSMZYV9F,88,84
Clay Nation #5865,5865,15000,QmVtM964jDmLdrNLKgR23hs7DdcFzi1DkcGJ4SRi9nRTx2,88,85
Clay Nation #2085,2085,x,QmWxdEnyr6XrDWMPCwchX1S2XF2HxbxLt4dGmpWGEKU7Wo,88,86
Clay Nation #8944,8944,x,QmNruFE57AN4389YoQUQmU9YebiycK12esKmBbf2X6JbH3,88,87
Clay Nation #3547,3547,11000,QmbFFabZkLNKvz5JWjqVCrzK7UCF5ncT2EmZ2Sodc25FVE,88,88
Clay Nation #2710,2710,x,QmS3d6yYMCREwD8JAS7dQpoJmd2DzbhwC12imhV9Sve575,88,89
Clay Nation #4406,4406,x,QmR1jwyMuXeYEcN1xMbqEqSudi4PrQETMjA3eZtCYmhXxj,88,90
Clay Nation #9064,9064,250000,QmZ2Q5J9vqDwybRnHrsXyxsexkH3QPk947fXqLyAyzccx1,88,91
Clay Nation #6700,6700,x,QmVoDwZ8QnbWByM6gq8cnAF3xBCGpG2FrXDZ67yBLPrP6Q,88,92
Clay Nation #6134,6134,42069,Qmbup48Fm4FDELtpTJLZssvMXENBTwZBHhUjsDzt5sEKUL,88,93
