name,id,price,hash,rarityScore,rarityRank,Body,Face,Headwear,Background
Naru 09585,9585,x,QmYRNEc7yPrUGVnLtf5AmfiRfRibAJsrrJXu6oi8a1sAU8,228,2374,,,,
Naru 09808,9808,888.888,QmUXYa3xDHrh5uMrgm5R3vLGF1NrH1ZWiQeiiNKwLyXMGf,227,2375,Varsity Jacket,Concerned,Beret,Red
Naru 08761,8761,1500,QmV53VL7m16JoSZyCKrgnpDn7A1E6RAZEqK8AK4BukzmMQ,227,2376,Striped Long Sleeve,Lip Bite,Cowboy Hat,Orange
Naru 06438,6438,x,QmXxbxMnGsBUcraNLKgBfusmtHjkbtpgksyTkYmx9V2o7K,227,2377,,,,
Naru 07603,7603,700,QmTzzixyiSCRoab6ASin8VcvpDMyvadRh5Y2fTbTJtq2Zx,227,2378,Skeleton Cloak,Kawaii,Party Hat,Orange
Naru 02096,2096,x,QmcZbVoEYvW4ECbx4oQWLjqxjHCaSt6KwLVHsRWJS7pzuW,227,2379,,,,
Naru 08978,8978,x,Qmc4ErUHzC8zR9LsDC3iWhZzuBNpYneGnp4hTTBL1W9UC1,227,2380,,,,
Naru 03480,3480,50000,QmasXXgw8i72aoNdQvWD67PRfo9zUJFRDHDB8VPqc4DzPA,227,2381,Wizard Robes,Smirk,Kings Crown,Yellow
Naru 03856,3856,x,QmcY46hQgFc9FY4m6ikJudw6V3oGpBSvk9jCjthmNFWS7a,227,2382,,,,
Naru 07630,7630,x,QmTAoWubfpjiGNKPJQe1VpTx2p7SqgKXmpYN8otPxWVyTa,227,2382,,,,
Naru 07679,7679,699,QmNbQFrBvGaLsMqixjuXBrBwpcTrJnGirxtK9ajH7DjJCb,227,2384,Bell Necklace,Yum,Wizard Hat,Yellow
Naru 00807,807,x,QmVnChFSGhMUjCPTb3UjvkWpdyFGckR3GUR6wEXjnaWLfg,227,2385,,,,
Naru 08457,8457,x,QmbnUeYZ4v3ynSGjfGJRkKWG4QTg8FzrnD7S3u32kBqgao,227,2386,,,,
Naru 08642,8642,650,QmUFJRqb2wC3468PLBhVYy4fhEMZgofHHVuovms8yV819X,227,2387,Poncho,Sick,Wreath,Pink
Naru 06808,6808,999,QmZWsXKVfL38qKqFLvuGNVezmsJToeqv7GH5e52mEDj6SR,227,2388,Black Kimono,Squad Shades,Nurse Hat,Blue
Naru 08102,8102,x,Qmbz4Y7ZLc9SCwHmAqsC1WoCyjSZndoTpu2xU5xN6FiSmK,227,2389,,,,
Naru 07995,7995,1000,Qmef8pZig977VcHbWQWT4CEe1CfuWuKU91TUonLZ8qmXNU,227,2390,Ruffle Top,Kawaii,Safari Hat,Dark
Naru 01011,1011,x,QmYLRVMGEeVVohePXi6Wp4NPv5n2JPEHHqPAmnSzHidapy,227,2391,,,,
Naru 02119,2119,x,QmaqE8JDmHmC9hH2ivfJdCVTbHMewcisNf4C3L7gJWPboA,227,2392,,,,
Naru 05672,5672,x,QmXbDjdezuKdwgQnzhgRr99D6ebjUsThxAZ1SxHetNFr6K,227,2393,,,,
Naru 06404,6404,750,QmWYFzoh7H9TWUkYPnwnJzniqzb9TcLJph5FaPQskUukTV,227,2394,Purple Hoodie,Excited,Emerald Bone Crown,Yellow
Naru 08818,8818,x,QmSKXmQpU5WYodfsosuC1eqRSkkpQ6ekw6E3ixhYJvGcmq,227,2395,,,,
Naru 01349,1349,4300,QmdChG1JGwSqSjrSA39ggyYrXeoRMhg1E9HeSeihYmWaTN,226,2396,Battle Armor,Text,Space Helmet,Light Blue
Naru 04671,4671,2000,QmeifqKpJX1HRBTejErnEyaB1FNhGm6xDTXNoPGbf2o6G6,226,2397,Alien Suit,Yum,Winter Beanie,Green
Naru 03296,3296,x,QmbKKccq5nGC5MBwWiKpGomqVdAn9WcsNbsWm3RLUxGm9E,226,2398,,,,
Naru 01149,1149,x,QmZWLSs49ZHWPcUKmw2qR81Gx7NPEBmzNqambzHAvE4Sip,226,2399,,,,
Naru 05235,5235,500,QmPpBvTSz52Vr8GwZYjURb6HXmKkbDMDFDKY99T4kkJdfx,226,2399,Naru T Shirt,Cool,Pizza Slice,Red
Naru 07336,7336,x,QmNpK3LcwzEm5deqHaW9K53nMxxb4nTkT6pBHKVM5fA7tc,226,2401,,,,
Naru 03391,3391,x,QmVwEA8eoEUTRfSoezLs5dArKZxYjWkiQL8hQfCeYCMde6,226,2402,,,,
Naru 05260,5260,x,QmejveaFejQUT8FQf6wXaYe5jjVziWB5oChvisVrSD6y2q,226,2403,,,,
Naru 08764,8764,x,Qmc21UzcNXY1N6CH5STxKfBhHjqonpRKT9R2Kme6cfLcYE,226,2404,,,,
Naru 09680,9680,500,QmWgrh8N9oRHjapaPxABxkPRCbqpxHLii5CSFRTu3EojRf,226,2405,Turtleneck Suit,Yum,Blue Bucket Hat,Light Blue
Naru 03812,3812,x,QmV8vbSYx5n555omzdmEgYvHxK3S6pjSVxVKHuoARFfnjS,226,2406,,,,
Naru 05689,5689,x,QmTq7gh3jYpYkRMZtFZLRNVXMLgK4gcirvMQ1kVTjBtRYk,226,2407,,,,
Naru 05019,5019,x,QmZGfWkgrzRfjSjPyKYeLwehqg71ooUEnsLrNgXb1GWQ13,226,2408,,,,
Naru 09867,9867,x,Qmazn9EjBGmdVqcmtH3bQnx6rCGuet4kxD7vmtCM9Yn1PC,226,2409,,,,
Naru 04839,4839,800,QmSg3fa1UUkFjD887a32fSzDFSSTLhBHZVXojwZy99hsB9,226,2410,Varsity Jacket,VR Headset,Party Hat,Orange
Naru 06805,6805,x,QmVRWAwxhG2zz6Fs7aWazVjrKd2yRzfyuMumSWPb8zs86k,226,2411,,,,
Naru 02989,2989,499,QmSyo1eGPKjJwFU9WzDATsEAVvXia9HCgmxes43gQd63vw,226,2412,Crop Top,Vamp,Emerald Bone Crown,Green
Naru 04957,4957,x,QmTNAxJLamGZJ2K7cF9RGXSJanMynrUhAwRTB3T36aPQh4,226,2413,,,,
Naru 07669,7669,x,QmUySQonvV6vPxZJ2dF97TrXUm4XgAe5xQwXN6W6re95Za,226,2414,,,,
