name,id,price,hash,rarityScore,rarityRank
Naru 00552,552,,Qmeopdn4jKSbLNskk8pFBPvz1R5FmPnqcRQhSBeE45HhVJ,677,69
Naru 04771,4771,,Qmb419Rmc2QaEqFjvgedghNNx7X8PMHn91QCoExXGBNfeo,677,70
Naru 04723,4723,,QmZMUuhrVE6RUSbzYKu35wUUBnuNQacZ43bJjSWfo9pGyC,675,71
Naru 09072,9072,,QmWg5r5Ak46mPMoM5eXDvJeFTbPdYAeVKhxAycxSMQDS4G,674,72
Naru 02687,2687,4500000000,Qmc7dZbNaoruBTG9ZxQQTtGBunX9iph8Um414ehTF6e2DE,674,73
Naru 09007,9007,,QmYazSMhx7UTEbLcNh6282sAUQpJTJ7g4n5cj628yx9mZd,673,74
Naru 06108,6108,24999000000,QmRbEn4WhACLNnzd67wSMoMHsAFMiJ4JCkscicTUW1TTq6,672,75
Naru 03751,3751,,QmcLGAMkqX8Y9xrWRKSdDKWwia5KgPK4XQSAi1favRDJ46,670,76
Naru 07162,7162,,Qmdxzk6Stfv2TzkdkGU78aBgy8NxaD43N8yDszSWAzxQnG,670,77
Naru 03293,3293,,QmTAAL6KdtR9qK8MWmBxJFkq3RkE8tdw1RmcRW5a5onCBy,669,78
Naru 04051,4051,,QmaVyM83wavBZtNhysnNL4WSpheMFj81pU8Tn3Xcc1Riug,668,79
Naru 02671,2671,,QmZTQNjHaXXLVCUU4UJxMpafnSabgNKQ6kHXTbYJKfEKgS,663,80
Naru 01786,1786,,QmRFS1x3wHdSqAG94NbyqkyLceHfffBWBMqvisghot9Zy4,660,81
Naru 06998,6998,,QmUWgi6AFqHiuLoVUWfebC1h6K7SA5mCkSrAdcg2SJ2kBS,659,82
Naru 04464,4464,9999000000,QmcmeiRE5uvSbjd9pAJpAUGBJhNSj9J6aCz7oxTw1TSJqj,659,83
Naru 09757,9757,,QmQgFBvxjNrpYDcwqVtiUj9E32jFt7TCgybjkn2Yu65oga,656,84
Naru 09881,9881,4443000000,QmcsmqmHiNTeHMt9K91rSY8fzB5ehYG8QXk6akzFGQTaBL,654,85
Naru 03796,3796,,Qmd6X6QZsCFbsthCtEcB3jgojrxrep3DGoMXHDZ6ahCtBC,654,86
Naru 06402,6402,4000000000,QmUwtLZ3bPpcCndGcipgMzsbBp2kg8AS9ypjzVC92pcFWT,652,87
Naru 09438,9438,,Qmf9sXCE3nrBuZej1Jv6tG34u4dSMUNWnc4HmFaNgtUEaT,651,88
Naru 01088,1088,6500000000,QmRVWm4Qfh6P8TvzvZz8v8NroH9x4Yw33ckShdKBDAqesj,650,89
Naru 03728,3728,12000000000,QmbWiYiv3qVFbPL1nK9GfhVQnVCqskmxKC14dtX3wkPCyV,649,90
Naru 07214,7214,,QmVVq3gLocwBXBY5XCYMoBg4qSHsZmSZegWdgrbNzXgXtq,649,91
Naru 06169,6169,,QmbSyNf2Ps2b27PTAXcJuDtaFBJUdC5yx7aXMPLXi4UCbc,646,92
Naru 03680,3680,,QmWWERyuqG16XmYD9WA7oRodoBep2bVJXUW9XXJwMMZWAt,645,93
Naru 01665,1665,,QmczuMg9ugPN71Ayq52z9TqcY9G5uvCPGax7jjRAqEJmsT,645,94
Naru 04934,4934,,Qmd3Uocd3pRskYZUSGPz6b4FVC2BDxfh4qKTArH8mshAVm,645,95
Naru 01847,1847,,Qmc7cwawDwENGfku19u9q7ehqsCpY9Tyd5697wGdLMqVSC,644,96
Naru 05621,5621,10000000000,QmZ2fQZWw2xLhRUsSbZo7oDyjbRFVbmLHTv8X1AEMHt89Z,643,97
Naru 02073,2073,,QmQQB89hxT4zZiAbywDdx6rvKqgsJ1EZtfa9BQAbhmUc3V,643,98
Naru 03734,3734,,QmRCpvyrifakTCtD6Max26n3E6eLdnrkXQH8rpSNm5FmL8,642,99
Naru 07980,7980,,QmTb6Lg7wujGc3MCbdaQ5JrG5s1Vu4SKjuWYzoxPUS618s,642,100
Naru 06418,6418,,QmZFm2WRWZGUtFHEzxdhoDY9CZh6CRvxyvKsc5yuJFNKyq,642,101
Naru 02188,2188,,QmePR5a4sxtX4uBzkL9fKsSQMWseMC2JEq5J1eyowQzp9V,642,102
Naru 00211,211,3300000000,QmdqHKopsy6EVDyFRuKgZxJrWiTPP9EFtq8f4nMNyruQzv,642,103
Naru 04280,4280,,QmYFnfi3VdhuTfifUEeYvT9Lq6hsemRnyyhud8NTqxtSZQ,640,104
Naru 00454,454,,QmNS3Vae8oPLQ4W6CLBG6ZF2oMaEpvzmNZdEsy4UvCSTjJ,640,105
Naru 09711,9711,,QmP3sLbvDTm2NFdkHz8YBDQKARNsP8HGwb7CHVEV6KKgUM,639,106
Naru 09652,9652,,QmcuTJnxEvij5YYxkPySqE5ZGBfzX6kyQWEwCthJGiNoxt,638,107
